"Company Name","Company Name"
ID,ID
Status,Status
"Customer Group","Customer Group"
"Company Admin","Company Admin"
"Delete Account","Delete Account"
"Are you sure you want to delete account? The action cannot be undone after confirmation. The customer status of deleted company’s users will be set to Inactive.","Are you sure you want to delete account? The action cannot be undone after confirmation. The customer status of deleted company’s users will be set to Inactive."
Save,Save
"Refund to Company Store Credit","Refund to Company Store Credit"
"We can't get the order instance right now.","We can't get the order instance right now."
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Your company account request is being reviewed by admin.","Your company account request is being reviewed by admin."
"Your company account got inactivated by admin. All company users are free to log in to their customer accounts, but can’t place orders. ","Your company account got inactivated by admin. All company users are free to log in to their customer accounts, but can’t place orders. "
"T: %1","T: %1"
"VAT/TAX ID: %1","VAT/TAX ID: %1"
"Re-seller ID: %1","Re-seller ID: %1"
"Create a Company Account","Create a Company Account"
title,title
"Company Account","Company Account"
"Company Administrator","Company Administrator"
"Company Accounts","Company Accounts"
"We can't find account to delete.","We can't find account to delete."
"Company was successfully removed","Company was successfully removed"
"This Company no longer exists.","This Company no longer exists."
"Edit Company ""%1""","Edit Company ""%1"""
"New Company","New Company"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been deactivated.","A total of %1 record(s) have been deactivated."
"A total of %1 record(s) have been activated.","A total of %1 record(s) have been activated."
"You have saved the Company.","You have saved the Company."
"Email was send successfully.","Email was send successfully."
"A total of %1 record(s) have been saved.","A total of %1 record(s) have been saved."
"Something went wrong.","Something went wrong."
"Company Store Credit","Company Store Credit"
"Company Orders","Company Orders"
"New Company Account","New Company Account"
"Edit Company Account","Edit Company Account"
"An error occurred on the server. Your changes have not been saved.","An error occurred on the server. Your changes have not been saved."
"There is already a company account associated with this email address. Please enter a different email address.","There is already a company account associated with this email address. Please enter a different email address."
"Company Account information was successfully saved.","Company Account information was successfully saved."
"Thank you! New Company Account was created successfully.","Thank you! New Company Account was created successfully."
"Thank you! Your request is received and will be reviewed as soon as possible.","Thank you! Your request is received and will be reviewed as soon as possible."
"New Role","New Role"
"Role has been deleted successfully","Role has been deleted successfully"
"An error occurred on the server. Please review the error log.","An error occurred on the server. Please review the error log."
"You can't delete a Role which is assigned to Users. In order to proceed please assign associated Users to other Roles.","You can't delete a Role which is assigned to Users. In order to proceed please assign associated Users to other Roles."
"Edit Role","Edit Role"
"Company Roles","Company Roles"
"The role was updated successfully.","The role was updated successfully."
"The role was created successfully.","The role was created successfully."
"Your changes have not been saved. Please enter a role title","Your changes have not been saved. Please enter a role title"
"Your changes have not been saved. Please choose role permissions","Your changes have not been saved. Please choose role permissions"
"New User","New User"
"The customer was deleted successfully.","The customer was deleted successfully."
"You can’t delete yourself. The action was not completed.","You can’t delete yourself. The action was not completed."
"Edit User","Edit User"
"Company Users","Company Users"
"The customer was updated successfully.","The customer was updated successfully."
"The customer was created successfully.","The customer was created successfully."
"Can't retrieve credit currency.","Can't retrieve credit currency."
"The ""%1"" value doesn't exist. Enter the value and try again.","The ""%1"" value doesn't exist. Enter the value and try again."
"Validation Failed","Validation Failed"
"The customer %1 (ID %2) is a Company Administrator and can’t be assigned to other company.","The customer %1 (ID %2) is a Company Administrator and can’t be assigned to other company."
"Customer does not exist","Customer does not exist"
Company,Company
"is one of","is one of"
"is not one of","is not one of"
"Open Chooser","Open Chooser"
"Input data is empty","Input data is empty"
"Cannot update Credit event %credit_event","Cannot update Credit event %credit_event"
"Could not append Credit events","Could not append Credit events"
"Could not save Credit","Could not save Credit"
"Order: <a href=""%1"">#%2</a>","Order: <a href=""%1"">#%2</a>"
"Overdraft used: %1","Overdraft used: %1"
"To be paid until %1","To be paid until %1"
"The operation can’t be performed because it exceeds the available credit amount.","The operation can’t be performed because it exceeds the available credit amount."
"Can't apply credit event.","Can't apply credit event."
"Can't cancel order with Company Store Credit","Can't cancel order with Company Store Credit"
"Customer not assigned for company.","Customer not assigned for company."
"Company Store Credit cannot be used for this order
                because your order amount exceeds your credit amount.","Company Store Credit cannot be used for this order
                because your order amount exceeds your credit amount."
"Can't place order with Company Store Credit","Can't place order with Company Store Credit"
"Unable to remove overdraft with ID %1. Error: %2","Unable to remove overdraft with ID %1. Error: %2"
"Unable to remove overdraft. Error: %1","Unable to remove overdraft. Error: %1"
"Could not save Overdraft","Could not save Overdraft"
"Overdraft with credit id ""%value"" does not exist.","Overdraft with credit id ""%value"" does not exist."
"Can't update overdraft for this time.","Can't update overdraft for this time."
"Credit with company id ""%value"" does not exist.","Credit with company id ""%value"" does not exist."
"Credit with id ""%value"" does not exist.","Credit with id ""%value"" does not exist."
Unlimited,Unlimited
Allowed,Allowed
"Not Allowed","Not Allowed"
"Order Payment should be provided","Order Payment should be provided"
"Order is canceled. We reverted %1 to the company credit.","Order is canceled. We reverted %1 to the company credit."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist."
"%1 was refunded to the company store credit.","%1 was refunded to the company store credit."
"%1 was refunded offline.","%1 was refunded offline."
"Unable to save company with ID %1. Error: %2","Unable to save company with ID %1. Error: %2"
